id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif,id_labels
0.34.47,10,2,8,1837.0941,3084.2659,4293.791,10.5,9.875,1,1,1,1,0,0.Commercial and catering occupations.Drivers and mobile machinery operators
0.34.47.15,4,2,2,104.65228,10506.421,15777.225,1,1,0,0,1,1,0,"0.Commercial and catering occupations.Drivers and mobile machinery operators.Managing directors, managers"
0.34.48,258,122,134,42.249519,1555.8193,1464.7523,11.122951,13.843284,0,0,1,0,1,0.Commercial and catering occupations.Occupations not requiring qualifications
0.34.48.15,93,39,53,455.81332,8996.377,8425.002,1,1,0,0,1,0,0,"0.Commercial and catering occupations.Occupations not requiring qualifications.Managing directors, managers"
0.34.48.29,10,6,4,304.56647,542.3338,366.685,39.166668,23.25,0,0,1,0,0,"0.Commercial and catering occupations.Occupations not requiring qualifications.Business related services administrators, agents"
0.34.48.29.15,7,5,2,101.14471,8399.376,9677.4131,1,1,2,0,1,1,0,"0.Commercial and catering occupations.Occupations not requiring qualifications.Business related services administrators, agents.Managing directors, managers"
0.34.48.32,6,4,2,1225.0352,1956.4708,906.69067,17,27,2,1,1,0,1,0.Commercial and catering occupations.Occupations not requiring qualifications.Office clerks
0.34.48.32.15,4,2,2,309.75372,22749.502,25483.064,1,1,0,0,1,1,0,"0.Commercial and catering occupations.Occupations not requiring qualifications.Office clerks.Managing directors, managers"
0.34.48.34,104,53,51,343.01959,909.74841,940.86841,20.490566,17.686274,0,0,1,1,0,0.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations
0.34.48.34.15,65,32,33,89.90287,8962.5352,7362.0586,1,1,0,0,1,0,0,"0.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations.Managing directors, managers"
0.34.48.34.32,4,3,1,284.57538,1826.942,97.465645,8.666667,61,2,0,1,0,1,0.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations.Office clerks
0.34.48.34.32.15,3,2,1,74.879257,7415.1748,8032.2583,1,1,2,0,1,1,0,"0.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations.Office clerks.Managing directors, managers"
0.34.48.34.48,22,12,10,330.92493,1605.8068,1586.7871,16.166666,7.4000001,0,0,1,0,0,0.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations.Occupations not requiring qualifications
0.34.48.34.48.15,10,9,1,-7.869421,7320.1616,9494.6895,1,1,2,0,0,1,0,"0.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations.Occupations not requiring qualifications.Managing directors, managers"
0.34.48.34.48.34,6,2,4,924.27167,294.17044,418.63843,25.5,29,1,1,1,1,1,0.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations
