id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif,id_labels
0.34.48.34.48.34.15,5,1,4,34.824924,9447.0967,8281.7793,1,1,1,0,1,0,0,0.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations
0.34.48.50,5,1,4,-547.93146,8769.6426,2024.2321,1,25,1,0,0,0,1,0.Commercial and catering occupations.Occupations not requiring qualifications
0.34.48.50.15,4,1,3,-27.086189,8184.9995,6498.02,1,1,1,0,0,0,0,"0.Commercial and catering occupations.Occupations not requiring qualifications..Managing directors, managers"
0.34.50,23,13,10,-940.77881,1102.1786,1155.703,6.8461537,10.3,0,0,0,1,1,0.Commercial and catering occupations
0.34.50.15,6,4,2,226.31097,5874.3984,5766.1211,1,1,2,0,1,0,0,"0.Commercial and catering occupations..Managing directors, managers"
0.34.50.34,10,6,4,861.71368,712.90417,511.51215,9.5,26,0,1,1,0,1,0.Commercial and catering occupations..Commercial and catering occupations
0.34.50.34.15,7,3,4,37.234776,4491.7739,14617.545,1,1,0,0,1,1,0,"0.Commercial and catering occupations..Commercial and catering occupations.Managing directors, managers"
0.35,149,62,86,,1829.2759,1767.6226,7.3870969,9.1860466,0,,,0,1,0.Service workers
0.35.15,28,7,20,1153.7168,7008.7246,8086.4214,1,1,1,1,1,1,0,"0.Service workers.Managing directors, managers"
0.35.29,11,6,5,935.83655,644.81482,1467.476,41.333332,8,0,1,1,1,0,"0.Service workers.Business related services administrators, agents"
0.35.29.15,5,2,3,197.56879,21774.145,9839.251,1,1,1,0,1,0,0,"0.Service workers.Business related services administrators, agents.Managing directors, managers"
