id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif
0.35.40,60,1,59,548.61414,229.18452,885.03546,15,24.20339,1,1,1,1,1
0.35.47,81,2,79,265.14651,168.16562,727.80328,66,45.215191,1,0,1,1,0
0.35.48,390,130,260,138.94453,909.31049,1216.8567,17.200001,15.75,1,0,1,1,0
0.35.48.35,85,26,59,554.91492,1445.1877,1145.5923,16.692308,26.898306,1,1,1,0,1
0.36,585,166,419,,1120.9495,943.27594,17.114458,26.229116,1,,,0,1
0.36.48,230,60,170,212.13718,843.55103,781.4624,21.883333,25.305882,1,0,1,0,1
0.37,126,15,111,,998.44482,732.75311,15.333333,25.675676,1,,,0,1
0.38,1066,387,679,,1002.7556,919.63007,23.180878,30.568483,1,,,0,1
0.38.34,132,66,66,-11.164885,778.21265,813.55151,28.787878,23.984848,0,0,0,1,0
0.38.44,80,26,54,300.01639,963.25323,685.9007,17.923077,31.351852,1,0,1,0,1
0.38.48,377,140,237,108.75576,813.86951,969.24078,22.507143,23.257383,1,0,1,1,1
0.38.48.38,66,18,48,354.98569,3198.7756,654.9942,6.9444447,20.75,1,0,1,0,1
0.39,1392,491,901,,729.08472,605.9953,25.521385,35.00222,1,,,0,1
0.39.34,104,60,44,424.87619,1350.9814,625.34772,27.1,43.159092,0,0,1,0,1
0.39.40,77,17,60,196.01315,1064.8623,862.20288,32.058823,36.783333,1,0,1,0,1
0.39.42,95,0,95,57.946831,,867.00049,,29.084211,1,0,1,,
0.39.44,157,69,88,292.65671,1451.0944,896.83331,25.26087,30.59091,0,0,1,0,1
0.39.45,73,37,36,529.74829,728.82904,923.03558,31.648649,25.75,0,1,1,1,0
0.39.48,415,145,270,211.27739,699.13232,738.73022,21.917242,27.048147,1,0,1,1,1
0.39.48.39,56,15,41,124.92434,789.04016,938.88129,16.333334,19.195122,1,0,1,1,1
0.40,2667,301,2366,,1110.0266,652.58148,19.790697,45.399406,1,,,0,1
0.40.24,188,6,182,729.39081,1451.2555,918.74451,36,38.313187,1,1,1,0,1
0.40.29,60,8,52,982.61975,583.70746,1079.7596,35,27.115385,1,1,1,1,0
0.40.34,152,41,111,180.25179,507.24475,972.94,28.634146,23.396397,1,0,1,1,0
0.40.35,99,7,92,111.43266,669.77161,875.68018,21.857143,36.29348,1,0,1,1,1
0.40.42,147,0,147,156.069,,936.30414,,28.013605,1,0,1,,
0.40.42.40,58,0,58,801.80835,,810.36273,,44.379311,1,1,1,,
0.40.44,241,40,201,207.75223,1047.3925,1004.2423,21.025,31.233831,1,0,1,0,1
0.40.44.40,63,5,58,462.6951,1317.7729,1426.5664,14,30.827587,1,1,1,1,1
0.40.45,211,57,154,207.11484,542.85339,1283.4905,41.385963,33.305195,1,0,1,1,0
0.40.47,159,1,158,237.74477,1699.3912,727.70544,2,46.79747,1,0,1,0,1
0.40.48,549,67,482,124.66645,1007.2415,1001.3134,19.97015,21.275934,1,0,1,0,1
0.40.48.40,144,3,141,599.82721,384.60391,945.56012,31.333334,35.099289,1,1,1,1,1
0.41,161,75,86,,846.71167,756.33478,24.959999,19.255814,0,,,0,0
0.42,1707,12,1695,,882.04919,647.75995,8.833333,33.365192,1,,,0,1
