id,value,nok,ffiak,wage_dif,gender_dom,relevant_wagedif_norm,wage_sign,id_labels
0.45.40,177,51,126,240.44693,1,0,1,0.Assemblers.Metal and electrical industry occupations
0.45.44,325,179,146,81.276192,0,0,1,0.Assemblers.Manufacturing machine operators
0.45.44.45,88,56,32,239.1866,2,0,1,0.Assemblers.Manufacturing machine operators.Assemblers
0.45.44.48,73,45,28,-293.7648,2,0,0,0.Assemblers.Manufacturing machine operators.Occupations not requiring qualifications
0.45.48,571,285,286,80.868263,0,0,1,0.Assemblers.Occupations not requiring qualifications
0.45.48.44,62,33,29,211.80771,0,0,1,0.Assemblers.Occupations not requiring qualifications.Manufacturing machine operators
0.45.48.45,103,59,44,509.52869,0,1,1,0.Assemblers.Occupations not requiring qualifications.Assemblers
0.46,259,81,178,,1,,,0.Stationary machine operators
0.46.48,62,25,37,285.10315,0,0,1,0.Stationary machine operators.Occupations not requiring qualifications
0.47,789,21,768,,1,,,0.Drivers and mobile machinery operators
0.47.34,63,2,61,117.73148,1,0,1,0.Drivers and mobile machinery operators.Commercial and catering occupations
0.47.48,152,7,145,15.916783,1,0,1,0.Drivers and mobile machinery operators.Occupations not requiring qualifications
0.48,9577,3559,6018,,1,,,0.Occupations not requiring qualifications
0.48.15,130,21,109,792.20782,1,1,1,"0.Occupations not requiring qualifications.Managing directors, managers"
0.48.17,89,16,73,5361.1694,1,1,1,"0.Occupations not requiring qualifications.Technical, information technology, science related professionals"
0.48.20,57,33,24,1754.4504,0,1,1,"0.Occupations not requiring qualifications.Educators, teachers"
0.48.24,248,54,194,1153.8763,1,1,1,0.Occupations not requiring qualifications.Technicians and technical professionals
0.48.28,88,73,15,376.48981,2,0,1,"0.Occupations not requiring qualifications.Social health care, labour market services professionals"
0.48.29,312,111,201,1003.9,1,1,1,"0.Occupations not requiring qualifications.Business related services administrators, agents"
0.48.31,104,60,44,760.05292,0,1,1,0.Occupations not requiring qualifications.Other administrators
0.48.32,285,199,86,585.45764,2,1,1,0.Occupations not requiring qualifications.Office clerks
0.48.32.48,70,48,22,-57.460381,2,0,0,0.Occupations not requiring qualifications.Office clerks.Occupations not requiring qualifications
0.48.33,146,86,60,1621.4329,0,1,1,0.Occupations not requiring qualifications.Customer services occupations
0.48.34,1068,527,541,358.77582,0,0,1,0.Occupations not requiring qualifications.Commercial and catering occupations
0.48.34.29,66,29,37,243.56676,0,0,1,"0.Occupations not requiring qualifications.Commercial and catering occupations.Business related services administrators, agents"
0.48.34.48,394,185,209,106.32493,0,0,1,0.Occupations not requiring qualifications.Commercial and catering occupations.Occupations not requiring qualifications
0.48.34.48.34,107,57,50,164.43311,0,0,1,0.Occupations not requiring qualifications.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations
0.48.35,502,140,362,371.65887,1,0,1,0.Occupations not requiring qualifications.Service workers
0.48.35.48,199,46,153,32.206589,1,0,1,0.Occupations not requiring qualifications.Service workers.Occupations not requiring qualifications
0.48.36,196,38,158,160.07216,1,0,1,0.Occupations not requiring qualifications.Agricultural occupations
0.48.36.48,122,23,99,156.94455,1,0,1,0.Occupations not requiring qualifications.Agricultural occupations.Occupations not requiring qualifications
0.48.37,87,8,79,54.015965,1,0,1,"0.Occupations not requiring qualifications.Forestry, game-farming and fisheries "
0.48.38,239,80,159,218.32227,1,0,1,0.Occupations not requiring qualifications.Food processing workers
0.48.38.48,127,43,84,-234.45439,1,0,0,0.Occupations not requiring qualifications.Food processing workers.Occupations not requiring qualifications
0.48.39,191,57,134,150.72894,1,0,1,0.Occupations not requiring qualifications.Light industry occupations
0.48.39.48,77,23,54,78.625984,1,0,1,0.Occupations not requiring qualifications.Light industry occupations.Occupations not requiring qualifications
0.48.40,494,49,445,223.65469,1,0,1,0.Occupations not requiring qualifications.Metal and electrical industry occupations
0.48.40.44,58,5,53,207.45648,1,0,1,0.Occupations not requiring qualifications.Metal and electrical industry occupations.Manufacturing machine operators
0.48.40.48,177,19,158,56.430447,1,0,1,0.Occupations not requiring qualifications.Metal and electrical industry occupations.Occupations not requiring qualifications
0.48.42,481,4,477,251.92099,1,0,1,0.Occupations not requiring qualifications.Building industry occupations
0.48.42.48,262,3,259,-90.367897,1,0,0,0.Occupations not requiring qualifications.Building industry occupations.Occupations not requiring qualifications
0.48.42.48.42,70,0,70,273.23807,1,0,1,0.Occupations not requiring qualifications.Building industry occupations.Occupations not requiring qualifications.Building industry occupations
0.48.43,125,7,118,103.13346,1,0,1,0.Occupations not requiring qualifications.Other industry and construction industry occupations
