id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif
0.39,62,18,43,,1754.8804,1143.4132,10.055555,14.83721,1,,,0,1
0.39.15,10,2,8,1551.4154,5335.8813,8907.5938,1,1,1,1,1,1,0
0.39.34,10,4,6,490.14215,1281.0004,925.28284,19.75,46.333332,1,1,1,0,1
0.39.34.15,7,3,4,89.492882,11865.454,6753.0571,1,1,0,0,1,0,0
0.39.40,5,0,4,1342.2964,,542.21057,,17.5,1,1,1,,
0.39.44,8,1,7,692.62347,3466.3062,687.62366,1,26,1,1,1,0,1
0.39.44.15,5,1,4,1683.7014,7790.3223,10069.167,1,1,1,1,1,1,0
0.39.48,11,4,7,724.44293,994.5542,665.62665,12.75,19.857143,1,1,1,0,1
0.40,161,24,131,,2618.4644,1412.6431,4.625,15.328244,1,,,0,1
0.40.15,28,1,23,331.39801,3257.4546,11665.802,1,1,1,0,1,1,0
0.40.17,6,0,5,3853.4434,,1660.7535,,25.799999,1,1,1,,
0.40.24,12,1,11,3232.1516,2033.6968,1884.1195,2,27.09091,1,1,1,0,1
0.40.29,8,3,5,2503.5662,302.62674,958.92859,25.333334,21.799999,1,1,1,1,0
0.40.34,24,11,13,1328.493,355.13504,1113.7635,25.09091,24.153847,0,1,1,1,0
0.40.34.15,12,4,8,64.071213,12038.092,7555.7109,1,1,1,0,1,0,0
0.40.42,5,0,5,-604.66577,,2542.1472,,4.8000002,1,0,0,,
0.40.44,17,1,16,511.65268,1518.8262,1224.6161,4,21.625,1,1,1,0,1
0.40.45,9,2,7,871.22162,945.72168,898.9787,14,20.142857,1,1,1,0,1
0.40.45.48,5,1,4,-45.066647,155.35941,2202.7449,51,22.5,1,0,0,1,0
0.40.47,6,0,6,1340.6566,,896.06702,,29.666666,1,1,1,,
0.40.48,26,2,24,62.067848,787.70776,1174.3748,9,16.708334,1,0,1,1,1
0.40.48.15,7,0,7,37.282864,,6859.1304,,1,1,0,1,,
0.40.48.34,5,2,3,496.91479,297.81766,3396.2012,21.5,10.666667,1,1,1,1,0
0.42,101,0,100,,,2220.5615,,15.52,1,,,,
0.42.15,23,0,23,654.0484,,8555.5537,,1,1,1,1,,
0.42.24,8,0,8,1204.683,,485.89581,,23.75,1,1,1,,
0.42.24.15,5,0,5,114.61533,,8034.2515,,1,1,0,1,,
0.42.34,8,0,8,69.117554,,827.35669,,15.75,1,0,1,,
0.42.44,8,0,8,232.29794,,571.27075,,23,1,0,1,,
0.42.48,27,0,26,-955.8302,,1938.3044,,8.4615383,1,0,0,,
0.42.48.15,7,0,7,-1185.719,,6104.8286,,1,1,0,0,,
0.42.48.42,8,0,8,571.54395,,1017.2037,,9.75,1,1,1,,
0.43,13,0,13,,,1172.1558,,14.230769,1,,,,
0.43.48,5,0,5,310.90515,,1023.6313,,15.6,1,0,1,,
0.44,173,50,121,,1900.6765,1788.374,10.48,14.818182,1,,,0,1
0.44.15,36,4,30,1075.9463,5273.3867,11699.539,1,1,1,1,1,1,0
0.44.24,7,0,7,1935.9441,,1946.6776,,15.714286,1,1,1,,
0.44.33,5,4,1,-56.614166,388.55969,568.27747,16,6,2,0,0,1,0
0.44.34,19,7,12,200.5015,1078.5089,677.95166,30.857143,20.916666,1,0,1,0,0
0.44.34.15,9,3,6,65.593414,5710.3433,7647.1553,1,1,1,0,1,1,0
0.44.35,6,2,3,98.241447,509.16119,1942.9766,8.5,4,1,0,1,1,0
0.44.38,6,1,5,189.91608,799.36316,1429.4982,5,31.799999,1,0,1,1,1
0.44.39,5,0,5,-176.71265,,393.55496,,11.6,1,0,0,,
0.44.40,8,2,7,1558.4655,3780.4224,1511.2699,1.5,8.8571424,1,1,1,0,1
0.44.45,18,8,10,276.25275,820.07831,1350.9907,22.875,12.6,0,0,1,1,0
0.44.45.44,6,3,3,133.54253,575.3501,306.30533,17,46,0,0,1,0,1
0.44.48,38,12,26,200.70911,1633.6654,1262.9391,7.4166665,12.307693,1,0,1,0,1
0.44.48.15,16,6,10,200.78647,6933.2373,7544.832,1,1,1,0,1,1,0
0.44.48.34,5,2,3,1158.9113,3856.2437,2723.1008,2,5.6666665,1,1,1,0,1
0.44.48.44,5,1,4,764.32538,3540.9231,3717.3074,1,9.25,1,1,1,1,1
